,US: International Tourism: Expenditures
Country,United States
Frequency,"Annual, ending ""Dec"" of each year"
Unit,USD mn
Source,World Bank
Status,Active
Series ID,274427902
SR Code,SR5372790
Function Information,
First Obs. Date,1995
Last Obs. Date,2015
Last Update Time,18/04/2017
Remarks,"International tourism expenditures are expenditures of international outbound visitors in other countries, including payments to foreign carriers for international transport. These expenditures may include those by residents traveling abroad as same-day visitors, except in cases where these are important enough to justify separate classification. For some countries they do not include expenditures for passenger transport items. Data are in current U.S. dollars.; ; World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files.; Gap-filled total;"
Mean,123434.55555555556
Variance,221338747.52777773
Standard Deviation,14877.45769705892
Skewness,0.40922790003125603
Kurtosis,-0.7615103660586118
Coefficient Variation,0.12052911463972386
Min,102953
Max,148366
Median,119838
No. of Obs,9
2007,112788
2008,119838
2009,102953
2010,110049
2011,116448
2012,129902
2013,130148
2014,140419
2015,148366
