,Resident Departures: by Destination: East Asia,Resident Departures: by Destination: ASEAN,Resident Departures: by Destination: Brunei,Resident Departures: by Destination: Cambodia,Resident Departures: by Destination: Indonesia,Resident Departures: by Destination: Laos,Resident Departures: by Destination: Malaysia,Resident Departures: by Destination: Myanmar,Resident Departures: by Destination: Philippines,Resident Departures: by Destination: Singapore,Resident Departures: by Destination: Vietnam,Resident Departures: by Destination: China,Resident Departures: by Destination: Hong Kong,Resident Departures: by Destination: Japan,Resident Departures: by Destination: Korea,Resident Departures: by Destination: Taiwan,Resident Departures: by Destination: East Asia: Others,Resident Departures: by Destination: Europe,Resident Departures: by Destination: Austria,Resident Departures: by Destination: Belgium,Resident Departures: by Destination: Denmark,Resident Departures: by Destination: Finland,Resident Departures: by Destination: France,Resident Departures: by Destination: Germany,Resident Departures: by Destination: Italy,Resident Departures: by Destination: Netherlands,Resident Departures: by Destination: Norway,Resident Departures: by Destination: Russia,Resident Departures: by Destination: Spain,Resident Departures: by Destination: Sweden,Resident Departures: by Destination: Switzerland,Resident Departures: by Destination: United Kingdom,Resident Departures: by Destination: East Europe,Resident Departures: by Destination: Europe: Others,Resident Departures: by Destination: The Americas,Resident Departures: by Destination: Canada,Resident Departures: by Destination: USA,Resident Departures: by Destination: The Americas: Others,Resident Departures: by Destination: South Asia,Resident Departures: by Destination: Bangladesh,Resident Departures: by Destination: India,Resident Departures: by Destination: Nepal,Resident Departures: by Destination: Pakistan,Resident Departures: by Destination: Sri Lanka,Resident Departures: by Destination: South Asia: Others,Resident Departures: by Destination: Oceania,Resident Departures: by Destination: Australia,Resident Departures: by Destination: New Zealand,Resident Departures: by Destination: Oceania: Others,Resident Departures: by Destination: Middle East,Resident Departures: by Destination: Egypt,Resident Departures: by Destination: Israel,Resident Departures: by Destination: Kuwait,Resident Departures: by Destination: Saudi Arabia,Resident Departures: by Destination: United Arab Emirates,Resident Departures: by Destination: Middle East: Others,Resident Departures: by Destination: Africa,Resident Departures: by Destination: South Africa,Resident Departures: by Destination: Africa: Others,Resident Departures: Include Overseas Thai,(DC)Resident Departures by Destination: East Asia,(DC)Resident Departures by Destination: Europe,(DC)Resident Departures by Destination: The Americas,(DC)Resident Departures by Destination: South Asia,(DC)Resident Departures by Destination: Oceania,(DC)Resident Departures by Destination: Middle East,(DC)Resident Departures by Destination: Africa,(DC)Resident Departures by Destination: ASEAN,(DC)Resident Departures by Destination: Brunei,(DC)Resident Departures by Destination: Indonesia,(DC)Resident Departures by Destination: Laos,(DC)Resident Departures by Destination: Malaysia,(DC)Resident Departures by Destination: Philippines,(DC)Resident Departures by Destination: Singapore,(DC)Resident Departures by Destination: Vietnam,(DC)Resident Departures by Destination: China,(DC)Resident Departures by Destination: Hong Kong,(DC)Resident Departures by Destination: Japan,(DC)Resident Departures by Destination: Korea,(DC)Resident Departures by Destination: Taiwan,(DC)Resident Departures by Destination: Cambodia,(DC)Resident Departures by Destination: Myanmar,(DC)Resident Departures by Destination: East Asia: Others,(DC)Resident Departures by Destination: Austria,(DC)Resident Departures by Destination: Belgium,(DC)Resident Departures by Destination: Denmark,(DC)Resident Departures by Destination: Finland,(DC)Resident Departures by Destination: France,(DC)Resident Departures by Destination: Germany,(DC)Resident Departures by Destination: Italy,(DC)Resident Departures by Destination: Netherlands,(DC)Resident Departures by Destination: Norway,(DC)Resident Departures by Destination: Russia,(DC)Resident Departures by Destination: Spain,(DC)Resident Departures by Destination: Sweden,(DC)Resident Departures by Destination: Switzerland,(DC)Resident Departures by Destination: United Kingdom,(DC)Resident Departures by Destination: East Europe,(DC)Resident Departures by Destination: Europe: Others,(DC)Resident Departures by Destination: Canada,(DC)Resident Departures by Destination: USA,(DC)Resident Departures by Destination: The Americas: Others,(DC)Resident Departures by Destination: Bangladesh,(DC)Resident Departures by Destination: India,(DC)Resident Departures by Destination: Nepal,(DC)Resident Departures by Destination: Pakistan,(DC)Resident Departures by Destination: Sri Lanka,(DC)Resident Departures by Destination: South Asia: Others,(DC)Resident Departures by Destination: Australia,(DC)Resident Departures by Destination: New Zealand,(DC)Resident Departures by Destination: Oceania: Others,(DC)Resident Departures by Destination: Egypt,(DC)Resident Departures by Destination: Israel,(DC)Resident Departures by Destination: Kuwait,(DC)Resident Departures by Destination: Saudi Arabia,(DC)Resident Departures by Destination: United Arab Emirates,(DC)Resident Departures by Destination: Middle East: Others,(DC)Resident Departures by Destination: South Africa,(DC)Resident Departures by Destination: Africa: Others,(DC)Residents Departures: Include Overseas Thai,(DC)Residents Departures: Exclude Overseas Thai,(DC)Residents Departures: Including Overseas Thai,TH: International Tourism: Number of Departures
Country,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand,Thailand
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year",Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year"
Unit,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person
Source,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,Department of Tourism,World Bank
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Active
Series ID,354252307 (TQVCBAPBLAAAAF),354252317 (TQVCBAPBLAAAAG),354252327 (TQVCBAPBLAAAAH),354252337 (TQVCBAPBLAAAAI),354252347 (TQVCBAPBLAAAAJ),354252357 (TQVCBAPBLAAAAK),354252367 (TQVCBAPBLAAAAL),354252377 (TQVCBAPBLAAAAM),354252387 (TQVCBAPBLAAAAN),354252397 (TQVCBAPBLAAAAO),354252407 (TQVCBAPBLAAAAP),354252417 (TQVCBAPBLAAAAQ),354252427 (TQVCBAPBLAAAAR),354252437 (TQVCBAPBLAAAAS),354252447 (TQVCBAPBLAAAAT),354252457 (TQVCBAPBLAAAAU),354252467 (TQVCBAPBLAAAAV),354252477 (TQVCBAPBLAAAAW),354252487 (TQVCBAPBLAAAAX),354252497 (TQVCBAPBLAAAAY),354252507 (TQVCBAPBLAAAAZ),354252517 (TQVCBAPBLAAABA),354252527 (TQVCBAPBLAAABB),354252537 (TQVCBAPBLAAABC),354252547 (TQVCBAPBLAAABD),354252557 (TQVCBAPBLAAABE),354252567 (TQVCBAPBLAAABF),354252577 (TQVCBAPBLAAABG),354252587 (TQVCBAPBLAAABH),354252597 (TQVCBAPBLAAABI),354252607 (TQVCBAPBLAAABJ),354252617 (TQVCBAPBLAAABK),354252627 (TQVCBAPBLAAABL),354252637 (TQVCBAPBLAAABM),354252647 (TQVCBAPBLAAABN),354252657 (TQVCBAPBLAAABO),354252667 (TQVCBAPBLAAABP),354252677 (TQVCBAPBLAAABQ),354252687 (TQVCBAPBLAAABR),354252697 (TQVCBAPBLAAABS),354252707 (TQVCBAPBLAAABT),354252717 (TQVCBAPBLAAABU),354252727 (TQVCBAPBLAAABV),354252737 (TQVCBAPBLAAABW),354252747 (TQVCBAPBLAAABX),354252757 (TQVCBAPBLAAABY),354252767 (TQVCBAPBLAAABZ),354252777 (TQVCBAPBLAAACA),354252787 (TQVCBAPBLAAACB),354252797 (TQVCBAPBLAAACC),354252807 (TQVCBAPBLAAACD),354252817 (TQVCBAPBLAAACE),354252827 (TQVCBAPBLAAACF),354252837 (TQVCBAPBLAAACG),354252847 (TQVCBAPBLAAACH),354252857 (TQVCBAPBLAAACI),354252867 (TQVCBAPBLAAACJ),354252877 (TQVCBAPBLAAACK),354252887 (TQVCBAPBLAAACL),354252897 (TQVCBAPBLAAAAE),39430601 (TQEAA),39432301 (TQEAB),39434001 (TQEAC),39434401 (TQEAD),39435101 (TQEAE),39435501 (TQEAF),39436201 (TQEAG),39430701 (TQEAAA),39430801 (TQEAAB),39430901 (TQEAAC),39431001 (TQEAAD),39431101 (TQEAAE),39431201 (TQEAAF),39431301 (TQEAAG),39431401 (TQEAAH),39431501 (TQEAAI),39431601 (TQEAAJ),39431701 (TQEAAK),39431801 (TQEAAL),39431901 (TQEAAM),39432001 (TQEAAN),39432101 (TQEAAO),39432201 (TQEAAP),39432401 (TQEABA),39432501 (TQEABB),39432601 (TQEABC),39432701 (TQEABD),39432801 (TQEABE),39432901 (TQEABF),39433001 (TQEABG),39433101 (TQEABH),39433201 (TQEABI),39433301 (TQEABJ),39433401 (TQEABK),39433501 (TQEABL),39433601 (TQEABM),39433701 (TQEABN),39433801 (TQEABO),39433901 (TQEABP),39434101 (TQEACA),39434201 (TQEACB),39434301 (TQEACC),39434501 (TQEADA),39434601 (TQEADB),39434701 (TQEADC),39434801 (TQEADD),39434901 (TQEADE),39435001 (TQEADF),39435201 (TQEAEA),39435301 (TQEAEB),39435401 (TQEAEC),39435601 (TQEAFA),39435701 (TQEAFB),39435801 (TQEAFC),39435901 (TQEAFD),39436001 (TQEAFE),39436101 (TQEAFF),39436301 (TQEAGA),39436401 (TQEAGB),39436701 (TQECA),39436601 (TQEC),39430501 (TQEA),274295102
SR Code,SR86055137,SR86055147,SR86055157,SR86055167,SR86055177,SR86055187,SR86055197,SR86055207,SR86055217,SR86055227,SR86055237,SR86055247,SR86055257,SR86055267,SR86055277,SR86055287,SR86055297,SR86055307,SR86055317,SR86055327,SR86055337,SR86055347,SR86055357,SR86055367,SR86055377,SR86055387,SR86055397,SR86055407,SR86055417,SR86055427,SR86055437,SR86055447,SR86055457,SR86055467,SR86055477,SR86055487,SR86055497,SR86055507,SR86055517,SR86055527,SR86055537,SR86055547,SR86055557,SR86055567,SR86055577,SR86055587,SR86055597,SR86055607,SR86055617,SR86055627,SR86055637,SR86055647,SR86055657,SR86055667,SR86055677,SR86055687,SR86055697,SR86055707,SR86055717,SR7092882,SR402502,SR402503,SR402504,SR402505,SR402506,SR402507,SR402508,SR402510,SR402511,SR402512,SR402513,SR402514,SR402515,SR402516,SR402517,SR402518,SR402519,SR402520,SR402521,SR402522,SR402523,SR402524,SR402525,SR402527,SR402528,SR402529,SR402530,SR402531,SR402532,SR402533,SR402534,SR402535,SR402536,SR402537,SR402538,SR402539,SR402540,SR402541,SR402542,SR402544,SR402545,SR402546,SR402548,SR402549,SR402550,SR402551,SR402552,SR402553,SR402555,SR402556,SR402557,SR402559,SR402560,SR402561,SR402562,SR402563,SR402564,SR402566,SR402567,SR1522366,SR402499,SR402500,SR5359600
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Obs. Date,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,12/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1997,01/1996,01/1996,01/1984,12/1995
Last Obs. Date,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2016,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2007,12/2006,12/2006,12/2015
