,Resident Departures: Total,Resident Departures: Male,Resident Departures: Female,Resident Departures: By Sea,Resident Departures: By Air,Resident Departures: Age 12 Years and Under,Resident Departures: Age 13 to 19,Resident Departures: Age 20 to 29,Resident Departures: Age 30 to 39,Resident Departures: Age 40 to 49,Resident Departures: Age 50 to 59,Resident Departures: Age 60 and Over,Resident Departures: Asia,Resident Departures: Asia: Hong Kong,Resident Departures: Asia: China,Resident Departures: Asia: Japan,Resident Departures: Asia: South Korea,Resident Departures: Asia: Singapore,Resident Departures: Asia: Malaysia,Resident Departures: Asia: Thailand,Resident Departures: Asia: Philippines,Resident Departures: Asia: Indonesia,Resident Departures: Asia: Brunei,Resident Departures: Asia: Vietnam,Resident Departures: Asia: Macau,Resident Departures: Asia: Myanmar,Resident Departures: Asia: Cambodia,Resident Departures: Asia: Others,Resident Departures: America,Resident Departures: America: U.S.A.,Resident Departures: America: Canada,Resident Departures: America: Others,Resident Departures: Europe,Resident Departures: Europe: France,Resident Departures: Europe: Germany,Resident Departures: Europe: Italy,Resident Departures: Europe: Netherlands,Resident Departures: Europe: Switzerland,Resident Departures: Europe: United Kingdom,Resident Departures: Europe: Austria,Resident Departures: Europe: Others,Resident Departures: Oceania,Resident Departures: Oceania: Australia,Resident Departures: Oceania: New Zealand,Resident Departures: Oceania: Palau,Resident Departures: Oceania: Others,Resident Departures: Africa,Resident Departures: Others,(DC)Resident Departures: South Africa,Resident Departures: Total,Resident Departures: Male,Resident Departures: Female
Country,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan,Taiwan
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person,Person
Source,"Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications","Tourism Bureau, Ministry of Transportation and Communications"
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Active,Active,Active
Series ID,46033201 (WQEA),232204901 (WQIBAA),232205001 (WQIBAB),232292701 (WQIDAA),232292801 (WQIDAB),232205101 (WQICAA),232205201 (WQICAB),232205301 (WQICAC),232205401 (WQICAD),232205501 (WQICAE),232205601 (WQICAF),232205701 (WQICAG),46033501 (WQEB),46033901 (WQEK),240575801 (WQHV),46033601 (WQEH),46033701 (WQEI),46033801 (WQEJ),46037001 (WQHA),46037101 (WQHB),46037201 (WQHC),46037301 (WQHD),46037401 (WQHE),46037501 (WQHF),46037601 (WQHG),46033301 (WQEAAA),321785901 (WQEAAH),152303401 (WQEAAC),46034201 (WQEV),46034101 (WQEQ),46037801 (WQHJ),152303501 (WQEAAD),46034401 (WQEX),46037901 (WQHK),46038001 (WQHL),46038101 (WQHM),46038201 (WQHN),46038301 (WQHO),46038401 (WQHP),46033401 (WQEAAB),152303601 (WQEAAE),46034001 (WQEL),46038501 (WQHQ),46038601 (WQHR),46037701 (WQHI),152303701 (WQEAAF),46034301 (WQEW),232205801 (WQEAAG),46038701 (WQHS),232207601 (WQIFAA),232207701 (WQIFAAA),232207801 (WQIFAAB)
SR Code,SR559645,SR2696809,SR2696770,SR2696796,SR2697392,SR2696508,SR2696994,SR2696822,SR2696498,SR2697231,SR2696776,SR2696887,SR559646,SR559651,SR3228590,SR559652,SR559653,SR559654,SR559655,SR559656,SR559657,SR559658,SR559659,SR559661,SR559662,SR559660,SR5853601,SR2697039,SR559647,SR559664,SR559665,SR3228591,SR559648,SR559666,SR559667,SR559668,SR559669,SR559670,SR559671,SR559672,SR2696968,SR559649,SR559673,SR559674,SR559663,SR3228589,SR559650,SR3231899,SR559675,SR2696526,SR2696910,SR2697088
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Obs. Date,01/1984,01/2002,01/2002,01/2003,01/2003,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/2002,01/1984,01/1984,07/2008,01/1984,01/1984,01/1984,05/1996,05/1996,05/1996,05/1996,05/1996,05/1996,01/1997,08/1997,01/2012,01/2001,01/1984,01/1984,05/1996,01/2001,01/1984,05/1996,05/1996,05/1996,05/1996,05/1996,05/1996,01/1999,01/2001,01/1984,05/1996,05/1996,05/1996,01/2001,01/1984,01/2001,05/1996,12/1980,12/1984,12/1984
Last Obs. Date,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,08/2017,11/1997,12/2016,12/2016,12/2016
