,AU: International Tourism: Number of Departures
Country,Australia
Frequency,"Annual, ending ""Dec"" of each year"
Unit,Person
Source,World Bank
Status,Active
Series ID,274284002
SR Code,SR5347495
Function Information,
First Obs. Date,1995
Last Obs. Date,2015
Last Update Time,18/04/2017
Remarks,"International outbound tourists are the number of departures that people make from their country of usual residence to any other country for any purpose other than a remunerated activity in the country visited. The data on outbound tourists refer to the number of departures, not to the number of people traveling. Thus a person who makes several trips from a country during a given period is counted each time as a new departure.; ; World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files.; Gap-filled total;"
Mean,7554444.444444444
Variance,2160725527777.7776
Standard Deviation,1469940.6545088063
Skewness,-0.19652183705807535
Kurtosis,-1.5526280604951674
Coefficient Variation,0.19457958362375727
Min,5462000
Max,9459000
Median,7788000
No. of Obs,9
2007,5462000
2008,5808000
2009,6276000
2010,7103000
2011,7788000
2012,8212000
2013,8768000
2014,9114000
2015,9459000
