	ID: GDP: PPP: 2011 Price	ID: GDP: PPP: 2011 Price: Household Final Consumption Expenditure	ID: GDP: PPP: 2011 Price: GDP per Capita	ID: (DC)GDP: PPP: 2005 Price	ID: (DC)GDP: PPP: 2005 Price: Household Final Consumption Expenditure	ID: (DC)GDP: PPP: 2005 Price: GDP per Capita	ID: GDP: PPP	ID: GDP: PPP: Household Final Consumption Expenditure	ID: GDP: PPP: GDP per Capita	ID: GNI: PPP: 2011 Price	ID: GNI: PPP: 2011 Price: GNI per Capita	ID: (DC)GNI: PPP: 2005 Price	ID: (DC)GNI: PPP: 2005 Price: GNI per Capita	ID: GNI: PPP	ID: GNI: PPP: GNI per Capita	ID: PPP Conversion Factor: GDP	ID: PPP Conversion Factor: Private Consumption	ID: PPP Conversion Factor: to Market Exchange Rate: Price Level Ratio	ID: (DC)PPP Conversion Factor: GDP (ICP 2005)	ID: (DC)PPP Conversion Factor: Private Consumption (ICP 2005)
Country	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia	Indonesia
Frequency	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"	"Annual, ending ""Dec"" of each year"
Unit	Intl $ mn	Intl $ mn	Intl $	Intl $ mn	Intl $ mn	Intl $	Intl $ mn	Intl $ mn	Intl $	Intl $	Intl $	Intl $	Intl $	Intl $ mn	Intl $	IDR/Intl $	IDR/Intl $	%	IDR/Intl $	IDR/Intl $
Source	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank	World Bank
Status	Active	Active	Active	Discontinued	Discontinued	Discontinued	Active	Active	Active	Active	Active	Discontinued	Discontinued	Active	Active	Active	Active	Active	Discontinued	Discontinued
Series ID	143607104	143582004	143632204	269088102	266998402	269213202	269068302	266979402	269193402	143657304	143682404	140254504	140303504	269399502	269440602	269756302	269792602	269774502	143707504	143732604
SR Code	SR5607359	SR5249593	SR5607578	SR5268710	SR5269777	SR5267445	SR5268391	SR5269227	SR5265874	SR5248608	SR5246745	SR6692810	SR6692714	SR5269654	SR5268489	SR5267697	SR5270685	SR5272495	SR5247803	SR5248886
Function Information																				
First Obs. Date	1990	1990	1990	1980	1980	1980	1990	1990	1990	1990	1990	1980	1980	1990	1990	1990	1990	1990	2005	2005
Last Obs. Date	2016	2016	2016	2012	2012	2012	2016	2016	2016	2016	2016	2012	2012	2016	2016	2016	2016	2016	2005	2005
