,UK: GDP: PPP: 2011 Price,UK: GDP: PPP: 2011 Price: Household Final Consumption Expenditure,UK: GDP: PPP: 2011 Price: GDP per Capita,UK: (DC)GDP: PPP: 2005 Price,UK: (DC)GDP: PPP: 2005 Price: Household Final Consumption Expenditure,UK: (DC)GDP: PPP: 2005 Price: GDP per Capita,UK: GDP: PPP,UK: GDP: PPP: Household Final Consumption Expenditure,UK: GDP: PPP: GDP per Capita,UK: GNI: PPP: 2011 Price,UK: GNI: PPP: 2011 Price: GNI per Capita,UK: (DC)GNI: PPP: 2005 Price,UK: (DC)GNI: PPP: 2005 Price: GNI per Capita,UK: GNI: PPP,UK: GNI: PPP: GNI per Capita,UK: PPP Conversion Factor: GDP,UK: PPP Conversion Factor: Private Consumption,UK: PPP Conversion Factor: to Market Exchange Rate: Price Level Ratio,UK: (DC)PPP Conversion Factor: GDP (ICP 2005),UK: (DC)PPP Conversion Factor: Private Consumption (ICP 2005)
Country,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $,Intl $,Intl $,Intl $,Intl $ mn,Intl $,GBP/Intl $,GBP/Intl $,%,GBP/Intl $,GBP/Intl $
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued
Series ID,143605104,143580004,143630204,269086302,266996702,269211402,269066502,266977702,269191602,143655304,143680404,140252504,140301504,269397802,269438902,269754702,269791002,269772902,143705504,143730604
SR Code,SR5255438,SR5253769,SR6693599,SR5370389,SR5366919,SR5366446,SR5366006,SR5369844,SR5369312,SR5260147,SR5260492,SR6693748,SR6693647,SR5365973,SR5370755,SR5369715,SR5370503,SR5292865,SR5259236,SR5257146
Function Information,,,,,,,,,,,,,,,,,,,,
First Obs. Date,1990,1990,1990,1980,1980,1980,1990,1990,1990,1990,1990,1980,1980,1990,1990,1990,1990,1990,2005,2005
Last Obs. Date,2016,2016,2016,2012,2012,2012,2016,2016,2016,2016,2016,2012,2012,2016,2016,2016,2016,2016,2005,2005
Last Update Time,03/07/2017,03/07/2017,03/07/2017,08/07/2016,08/07/2016,08/07/2016,03/07/2017,03/07/2017,03/07/2017,03/07/2017,03/07/2017,08/07/2016,08/07/2016,03/07/2017,03/07/2017,03/07/2017,03/07/2017,03/07/2017,08/07/2016,08/07/2016
