	CN: PPP Conversion Factor: to Market Exchange Rate: Price Level Ratio
Country	China
Frequency	"Annual, ending ""Dec"" of each year"
Unit	%
Source	World Bank
Status	Active
Series ID	269770202
SR Code	SR5296746
Function Information	
First Obs. Date	1990
Last Obs. Date	2016
Last Update Time	3/7/17
Remarks	"Purchasing power parity conversion factor is the number of units of a country's currency required to buy the same amount of goods and services in the domestic market as a U.S. dollar would buy in the United States. The ratio of PPP conversion factor to market exchange rate is the result obtained by dividing the PPP conversion factor by the market exchange rate. The ratio, also referred to as the national price level, makes it possible to compare the cost of the bundle of goods that make up gross domestic product (GDP) across countries. It tells how many dollars are needed to buy a dollar's worth of goods in the country as compared to the United States. PPP conversion factors are based on the 2011 ICP round.; ; World Bank, International Comparison Program database.; ;"
Mean	0.525318537
Variance	0.002209126
Standard Deviation	0.04700134
Skewness	-0.652928266
Kurtosis	-1.341838991
Coefficient Variation	0.089472076
Min	0.45464496
Max	0.57226634
Median	0.54252666
No. of Obs	9
2008	0.45464496
2009	0.45835155
2010	0.48863725
2011	0.54252666
2012	0.5583515
2013	0.57226634
2014	0.57169307
2015	0.55849001
2016	0.52290549
