,MY: GDP: PPP: 2011 Price,MY: GDP: PPP: 2011 Price: Household Final Consumption Expenditure,MY: GDP: PPP: 2011 Price: GDP per Capita,MY: (DC)GDP: PPP: 2005 Price,MY: (DC)GDP: PPP: 2005 Price: Household Final Consumption Expenditure,MY: (DC)GDP: PPP: 2005 Price: GDP per Capita,MY: GDP: PPP,MY: GDP: PPP: Household Final Consumption Expenditure,MY: GDP: PPP: GDP per Capita,MY: GNI: PPP: 2011 Price,MY: GNI: PPP: 2011 Price: GNI per Capita,MY: (DC)GNI: PPP: 2005 Price,MY: (DC)GNI: PPP: 2005 Price: GNI per Capita,MY: GNI: PPP,MY: GNI: PPP: GNI per Capita,MY: PPP Conversion Factor: GDP,MY: PPP Conversion Factor: Private Consumption,MY: PPP Conversion Factor: to Market Exchange Rate: Price Level Ratio,MY: (DC)PPP Conversion Factor: GDP (ICP 2005),MY: (DC)PPP Conversion Factor: Private Consumption (ICP 2005)
Country,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $,Intl $,Intl $,Intl $,Intl $ mn,Intl $,MYR/Intl $,MYR/Intl $,%,MYR/Intl $,MYR/Intl $
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued
Series ID,143613204,143588104,143638304,269093102,267003302,269218202,269073302,266984402,269198402,143663404,143688504,140260604,140309604,269404602,269445702,269760802,269797102,269778802,143713604,143738704
SR Code,SR5254260,SR5253021,SR5253412,SR5333214,SR5333762,SR5331069,SR5333117,SR5331604,SR5334845,SR5251484,SR5252376,SR6693472,SR6693376,SR5332383,SR5332084,SR5331843,SR5332113,SR5271789,SR5251721,SR5738625
Function Information,,,,,,,,,,,,,,,,,,,,
First Obs. Date,1990,1990,1990,1980,1980,1980,1990,1990,1990,1990,1990,1980,1980,1990,1990,1990,1990,1990,2005,2005
Last Obs. Date,2016,2016,2016,2012,2012,2012,2016,2016,2016,2016,2016,2012,2012,2016,2016,2016,2016,2016,2005,2005
