,AU: GDP: PPP: 2011 Price,AU: GDP: PPP: 2011 Price: Household Final Consumption Expenditure,AU: GDP: PPP: 2011 Price: GDP per Capita,AU: (DC)GDP: PPP: 2005 Price,AU: (DC)GDP: PPP: 2005 Price: Household Final Consumption Expenditure,AU: (DC)GDP: PPP: 2005 Price: GDP per Capita,AU: GDP: PPP,AU: GDP: PPP: Household Final Consumption Expenditure,AU: GDP: PPP: GDP per Capita,AU: GNI: PPP: 2011 Price,AU: GNI: PPP: 2011 Price: GNI per Capita,AU: (DC)GNI: PPP: 2005 Price,AU: (DC)GNI: PPP: 2005 Price: GNI per Capita,AU: GNI: PPP,AU: GNI: PPP: GNI per Capita,AU: PPP Conversion Factor: GDP,AU: PPP Conversion Factor: Private Consumption,AU: PPP Conversion Factor: to Market Exchange Rate: Price Level Ratio,AU: (DC)PPP Conversion Factor: GDP (ICP 2005),AU: (DC)PPP Conversion Factor: Private Consumption (ICP 2005)
Country,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $,Intl $,Intl $,Intl $,Intl $ mn,Intl $,AUD/Intl $,AUD/Intl $,%,AUD/Intl $,AUD/Intl $
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued
Series ID,143598104,143573004,143623204,269081002,266991602,269206102,269061202,266972502,269186302,143648304,143673404,140246104,140295104,269392502,269433602,269749702,269785902,269767902,143698504,143723604
SR Code,SR5253829,SR5251829,SR5254645,SR5297282,SR5298887,SR5299237,SR5297807,SR5299924,SR5299517,SR5252994,SR5251034,SR6695546,SR6695341,SR5296029,SR5299242,SR5298947,SR5298481,SR5296049,SR5252864,SR5418281
Function Information,,,,,,,,,,,,,,,,,,,,
First Obs. Date,1990,1990,1990,1980,1980,1980,1990,1990,1990,1990,1990,1980,1980,1990,1990,1990,1990,1990,2005,2005
Last Obs. Date,2016,2016,2016,2012,2012,2012,2016,2016,2016,2016,2016,2012,2012,2016,2016,2016,2016,2016,2005,2005
Last Update Time,03/07/2017,03/07/2017,03/07/2017,08/07/2016,08/07/2016,08/07/2016,03/07/2017,03/07/2017,03/07/2017,03/07/2017,03/07/2017,08/07/2016,08/07/2016,03/07/2017,03/07/2017,03/07/2017,03/07/2017,03/07/2017,08/07/2016,08/07/2016
