,JP: GDP: PPP: 2011 Price,JP: GDP: PPP: 2011 Price: Household Final Consumption Expenditure,JP: GDP: PPP: 2011 Price: GDP per Capita,JP: (DC)GDP: PPP: 2005 Price,JP: (DC)GDP: PPP: 2005 Price: Household Final Consumption Expenditure,JP: (DC)GDP: PPP: 2005 Price: GDP per Capita,JP: GDP: PPP,JP: GDP: PPP: Household Final Consumption Expenditure,JP: GDP: PPP: GDP per Capita,JP: GNI: PPP: 2011 Price,JP: GNI: PPP: 2011 Price: GNI per Capita,JP: (DC)GNI: PPP: 2005 Price,JP: (DC)GNI: PPP: 2005 Price: GNI per Capita,JP: GNI: PPP,JP: GNI: PPP: GNI per Capita,JP: PPP Conversion Factor: GDP,JP: PPP Conversion Factor: Private Consumption,JP: PPP Conversion Factor: to Market Exchange Rate: Price Level Ratio,JP: (DC)PPP Conversion Factor: GDP (ICP 2005),JP: (DC)PPP Conversion Factor: Private Consumption (ICP 2005)
Country,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Japan
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $,Intl $,Intl $,Intl $,Intl $ mn,Intl $,JPY/Intl $,JPY/Intl $,%,JPY/Intl $,JPY/Intl $
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued
Series ID,143608204,143583104,143633304,269089002,266999302,269214102,269069202,266980302,269194302,143658404,143683504,140255604,140304604,269400402,269441502,269757302,269793602,269775402,143708604,143733704
SR Code,SR5608932,SR6692830,SR6912923,SR5266963,SR5266352,SR5266049,SR5269626,SR5269807,SR5270739,SR6913094,SR6692774,SR6692783,SR6692762,SR5266417,SR5267411,SR5269393,SR5269650,SR5418957,SR6692798,SR6913059
Function Information,,,,,,,,,,,,,,,,,,,,
First Obs. Date,1990,1990,1990,1980,1980,1980,1990,1990,1990,1990,1990,1980,1980,1990,1990,1990,1990,1990,2005,2005
Last Obs. Date,2016,2015,2016,2012,2012,2012,2016,2015,2016,2015,2015,2012,2012,2016,2016,2016,2016,2016,2005,2005
