,KR: GDP: PPP: 2011 Price,KR: GDP: PPP: 2011 Price: Household Final Consumption Expenditure,KR: GDP: PPP: 2011 Price: GDP per Capita,KR: (DC)GDP: PPP: 2005 Price,KR: (DC)GDP: PPP: 2005 Price: Household Final Consumption Expenditure,KR: (DC)GDP: PPP: 2005 Price: GDP per Capita,KR: GDP: PPP,KR: GDP: PPP: Household Final Consumption Expenditure,KR: GDP: PPP: GDP per Capita,KR: GNI: PPP: 2011 Price,KR: GNI: PPP: 2011 Price: GNI per Capita,KR: (DC)GNI: PPP: 2005 Price,KR: (DC)GNI: PPP: 2005 Price: GNI per Capita,KR: GNI: PPP,KR: GNI: PPP: GNI per Capita,KR: PPP Conversion Factor: GDP,KR: PPP Conversion Factor: Private Consumption,KR: PPP Conversion Factor: to Market Exchange Rate: Price Level Ratio,KR: (DC)PPP Conversion Factor: GDP (ICP 2005),KR: (DC)PPP Conversion Factor: Private Consumption (ICP 2005)
Country,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Korea
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $,Intl $,Intl $,Intl $,Intl $ mn,Intl $,KRW/Intl $,KRW/Intl $,%,KRW/Intl $,KRW/Intl $
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued
Series ID,143608904,143583804,143634004,269089702,266999902,269214802,269069902,266980902,269195002,143659104,143684204,140256304,140305304,269401102,269442202,269758002,269794302,269776102,143709304,143734404
SR Code,SR5254230,SR5254381,SR5253526,SR5342067,SR5343798,SR5345294,SR5345300,SR5341295,SR5343762,SR5255194,SR5252434,SR6693243,SR6693117,SR5342350,SR5342388,SR5341105,SR5345376,SR5298008,SR5252733,SR5255426
Function Information,,,,,,,,,,,,,,,,,,,,
First Obs. Date,1990,1990,1990,1980,1980,1980,1990,1990,1990,1990,1990,1980,1980,1990,1990,1990,1990,1990,2005,2005
Last Obs. Date,2016,2016,2016,2012,2012,2012,2016,2016,2016,2016,2016,2012,2012,2016,2016,2016,2016,2016,2005,2005
