,US: GDP: PPP: 2011 Price,US: GDP: PPP: 2011 Price: Household Final Consumption Expenditure,US: GDP: PPP: 2011 Price: GDP per Capita,US: (DC)GDP: PPP: 2005 Price,US: (DC)GDP: PPP: 2005 Price: Household Final Consumption Expenditure,US: (DC)GDP: PPP: 2005 Price: GDP per Capita,US: GDP: PPP,US: GDP: PPP: Household Final Consumption Expenditure,US: GDP: PPP: GDP per Capita,US: GNI: PPP: 2011 Price,US: GNI: PPP: 2011 Price: GNI per Capita,US: (DC)GNI: PPP: 2005 Price,US: (DC)GNI: PPP: 2005 Price: GNI per Capita,US: GNI: PPP,US: GNI: PPP: GNI per Capita,US: PPP Conversion Factor: GDP,US: PPP Conversion Factor: Private Consumption,US: PPP Conversion Factor: to Market Exchange Rate: Price Level Ratio,US: (DC)PPP Conversion Factor: GDP (ICP 2005),US: (DC)PPP Conversion Factor: Private Consumption (ICP 2005)
Country,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $ mn,Intl $ mn,Intl $,Intl $,Intl $,Intl $,Intl $,Intl $ mn,Intl $,USD/Intl $,USD/Intl $,%,USD/Intl $,USD/Intl $
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued,Active,Active,Active,Active,Active,Discontinued,Discontinued
Series ID,143620604,143595504,143645704,269098802,267008702,269223902,269079002,266989802,269204102,143670804,143695904,140268004,140317004,269410202,269451302,269766002,269802302,269784002,143721004,143746104
SR Code,SR5252358,SR5253597,SR5253192,SR5312611,SR5314664,SR5314845,SR5310995,SR5310964,SR5313109,SR5254563,SR5254640,SR6694293,SR6694175,SR5311466,SR5313228,SR5314458,SR5314630,SR5247970,SR5254602,SR5252354
Function Information,,,,,,,,,,,,,,,,,,,,
First Obs. Date,1990,1990,1990,1980,1980,1980,1990,1990,1990,1990,1990,1980,1980,1990,1990,1990,1990,1990,2005,2005
Last Obs. Date,2016,2015,2016,2012,2012,2012,2016,2015,2016,2015,2015,2012,2012,2016,2016,2016,2016,2016,2005,2005
Last Update Time,03/07/2017,04/04/2017,03/07/2017,08/07/2016,08/07/2016,08/07/2016,03/07/2017,19/12/2016,03/07/2017,19/12/2016,03/07/2017,08/07/2016,08/07/2016,03/07/2017,03/07/2017,03/07/2017,03/07/2017,03/07/2017,08/07/2016,08/07/2016
