,IN: International Tourism: Expenditures
Country,India
Frequency,"Annual, ending ""Dec"" of each year"
Unit,USD mn
Source,World Bank
Status,Active
Series ID,274416902
SR Code,SR5363203
Function Information,
First Obs. Date,1995
Last Obs. Date,2015
Last Update Time,18/04/2017
Remarks,"International tourism expenditures are expenditures of international outbound visitors in other countries, including payments to foreign carriers for international transport. These expenditures may include those by residents traveling abroad as same-day visitors, except in cases where these are important enough to justify separate classification. For some countries they do not include expenditures for passenger transport items. Data are in current U.S. dollars.; ; World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files.; Gap-filled total;"
Mean,13271.222222222223
Variance,8757912.694444444
Standard Deviation,2959.377078786082
Skewness,0.369478848368728
Kurtosis,-0.9034053360175647
Coefficient Variation,0.22299205221887575
Min,9310
Max,17686
Median,13699
No. of Obs,9
2007,10690
2008,12083
2009,9310
2010,10490
2011,13699
2012,14107
2013,13884
2014,17492
2015,17686
