,Tourist Expenditure Per Capita: USA
Country,Singapore
Frequency,"Annual, ending ""Dec"" of each year"
Unit,SGD
Source,Singapore Tourism Board
Status,Active
Series ID,36571101 (SQCBEA)
SR Code,SR87370
Function Information,
First Obs. Date,1995
Last Obs. Date,2015
Last Update Time,07/10/2016
Remarks,
Mean,1302.6666666666667
Variance,22494
Standard Deviation,149.97999866648885
Skewness,0.09905234845659756
Kurtosis,-0.9208004106481615
Coefficient Variation,0.1151330593652678
Min,1104
Max,1550
Median,1315
No. of Obs,9
2007,1129
2008,1162
2009,1416
2010,1550
2011,1403
2012,1375
2013,1270
2014,1315
2015,1104
