Country,Year,Accommodation,Food & Beverage,Shopping,Local Transport,Medical,Others,Total
Indonesia,2013,604,242,928,101,463,641,2978
Indonesia,2014,603,241,723,96,632,653,2948
Indonesia,2015,415,259,666,0,0,981,2321
China,2013,654,265,1399,90,28,545,2981
China,2014,604,228,1197,74,2,529,2634
China,2015,1146,460,250,0,0,682,2537
Malaysia,2013,225,87,252,39,79,206,888
Malaysia,2014,190,88,249,37,71,215,851
Malaysia,2015,151,75,168,0,0,244,637
India,2013,443,183,218,83,21,276,1224
India,2014,428,186,169,90,3,294,1170
India,2015,404,203,175,0,0,385,1167
Australia,2013,323,151,157,46,4,397,1078
Australia,2014,320,172,154,57,0,393,1096
Australia,2015,288,141,140,0,0,454,1023
Japan,2013,328,109,113,43,1,317,911
Japan,2014,268,114,145,39,0,328,894
Japan,2015,324,132,112,0,0,357,925
Philippines,2013,288,98,149,42,0,106,684
Philippines,2014,288,102,123,44,4,113,674
Philippines,2015,245,92,121,0,0,178,636
South Korea,2013,170,72,54,26,0,144,465
South Korea,2014,239,96,69,28,0,155,586
South Korea,2015,202,89,86,0,0,187,564
USA,2013,263,126,41,42,3,150,625
USA,2014,258,116,62,37,47,118,638
USA,2015,227,106,62,0,0,157,551
Thailand,2013,259,88,149,33,1,88,618
Thailand,2014,258,85,137,36,0,103,620
Thailand,2015,98,241,137,0,0,133,609
UK,2013,174,82,55,24,0,180,515
UK,2014,198,86,54,27,6,143,515
UK,2015,201,87,53,0,0,193,534
Hong Kong,2013,203,79,64,25,1,135,507
Hong Kong,2014,238,78,67,28,0,142,552
Hong Kong,2015,189,88,71,0,0,186,534
Vietnam,2013,202,66,135,43,81,88,616
Vietnam,2014,203,62,130,30,24,89,538
Vietnam,2015,145,76,154,0,0,145,520
Germany,2013,79,36,19,11,0,75,220
Germany,2014,105,41,22,14,0,37,220
Germany,2015,82,44,20,0,0,115,261
Taiwan,2013,113,40,56,16,0,48,273
Taiwan,2014,112,38,74,13,0,54,292
Taiwan,2015,102,41,69,0,0,83,294
