country,latitude,longitude,id,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,O2010,O2011,O2012,O2013,O2014,O2015,O2016
Australia,-23.3,132.2,AUS,840126,914334,1003032,1066504,1013007,986046,974582,7103000,7788000,8212000,8768000,9114000,9459000,
China,31.7,106.2,CHN,916688,1208311,1518330,1703260,1451116,1717374,2122121,57386000,70250000,83183000,98185000,107276000,116886000,
Germany,51.1657,10.4515,DEU,194594,203315,234189,232887,244570,267765,312528,85872000,84692000,82729000,87459000,83008000,83737000,
Hong Kong,22.3964,114.1095,HK,336985,412169,409240,422407,497059,493564,443372,84442000,84816000,85276000,84414000,84519000,89082000,
India,20.594,78.963,IND,685772,727910,772281,824430,852866,929403,1009198,12988000,13994000,14920000,16626000,18330000,20376000,
Indonesia,-0.789,113.921,IDN,2087059,2361772,2578462,2744772,2697014,2471378,2643591,6235606,6750416,7453633,8024876,7899070,7908534,
Japan,36.2048,138.2529,JPN,455227,571662,662226,726195,726915,701334,705660,16637000,16994000,18491000,17473000,16903000,16214000,
South Korea,35.9078,127.7669,KOR,310062,356292,384972,406024,462995,502636,498283,12488000,12694000,13737000,14846000,16081000,19310000,
Taiwan,23.6978,120.9605,TWN,164032,204286,238603,276585,267424,294557,310023,9415074,9583873,10239760,11052908,11844635,13182976,
Thailand,15.87,100.9925,THA,331816,377420,379783,396327,422573,440082,472134,5451000,5397000,5721000,5970000,6444000,6794000,
United Kingdom,53.6,-2.3,UK,426580,408178,413743,426695,420072,444833,462720,55562000,56836000,56538000,57792000,60082000,65720000,
United States of America,37.0902,-95.7129,USA,383306,405539,440161,454178,449539,466232,485511,61061000,59209000,60697000,61874000,68176000,73453000,
