Country,Year,Expenditure
Indonesia,1995,2172
Indonesia,1996,2399
Indonesia,1997,2411
Indonesia,1998,2102
Indonesia,1999,2353
Indonesia,2000,3197
Indonesia,2001,3406
Indonesia,2002,5042
Indonesia,2003,4427
Indonesia,2004,4569
Indonesia,2005,4740
Indonesia,2006,5458
Indonesia,2007,6578
Indonesia,2008,8801
Indonesia,2009,6908
Indonesia,2010,8432
Indonesia,2011,8653
Indonesia,2012,9055
Indonesia,2013,10280
Indonesia,2014,10263
Indonesia,2015,9800
China,2007,29786
China,2008,36157
China,2009,43702
China,2010,54880
China,2011,72585
China,2012,101977
China,2013,128576
China,2014,234662
China,2015,292200
India,2007,10690
India,2008,12083
India,2009,9310
India,2010,10490
India,2011,13699
India,2012,14107
India,2013,13884
India,2014,17492
India,2015,17686
Malaysia,2007,6600
Malaysia,2008,7724
Malaysia,2009,7196
Malaysia,2010,8324
Malaysia,2011,10180
Malaysia,2012,12217
Malaysia,2013,12236
Malaysia,2014,12442
Malaysia,2015,10589
Australia,2007,22052
Australia,2008,25557
Australia,2009,22680
Australia,2010,27851
Australia,2011,33967
Australia,2012,35226
Australia,2013,35198
Australia,2014,31959
Australia,2015,28300
Japan,2007,37258
Japan,2008,38971
Japan,2009,34787
Japan,2010,39306
Japan,2011,39760
Japan,2012,40967
Japan,2013,32244
Japan,2014,28609
Japan,2015,23165
Philippines,2007,3351
Philippines,2008,4285
Philippines,2009,4056
Philippines,2010,5964
Philippines,2011,6055
Philippines,2012,7140
Philippines,2013,8400
Philippines,2014,11130
Philippines,2015,12191
South Korea,2007,24431
South Korea,2008,21447
South Korea,2009,16355
South Korea,2010,20788
South Korea,2011,22195
South Korea,2012,22934
South Korea,2013,24459
South Korea,2014,26136
South Korea,2015,27559
USA,2007,112788
USA,2008,119838
USA,2009,102953
USA,2010,110049
USA,2011,116448
USA,2012,129902
USA,2013,130148
USA,2014,140419
USA,2015,148366
Thailand,2007,6889
Thailand,2008,6707
Thailand,2009,5744
Thailand,2010,7155
Thailand,2011,7534
Thailand,2012,8095
Thailand,2013,8238
Thailand,2014,8824
Thailand,2015,9539
UK,2007,89938
UK,2008,87949
UK,2009,65435
UK,2010,65875
UK,2011,69251
UK,2012,70569
UK,2013,72379
UK,2014,77429
UK,2015,79602
Hong Kong,2007,15042
Hong Kong,2008,16095
Hong Kong,2009,15547
Hong Kong,2010,17357
Hong Kong,2011,19022
Hong Kong,2012,20077
Hong Kong,2013,21215
Hong Kong,2014,22011
Hong Kong,2015,23059
Vietnam,2007,1220
Vietnam,2008,1300
Vietnam,2009,1100
Vietnam,2010,1470
Vietnam,2011,1710
Vietnam,2012,1856
Vietnam,2013,2050
Vietnam,2014,2650
Vietnam,2015,3500
Germany,2007,96188
Germany,2008,105645
Germany,2009,92826
Germany,2010,90883
Germany,2011,99840
Germany,2012,96235
Germany,2013,105495
Germany,2014,106663
Germany,2015,88843
Taiwan,2007,13142
Taiwan,2008,13139
Taiwan,2009,11164
Taiwan,2010,13836
Taiwan,2011,15748
Taiwan,2012,16854
Taiwan,2013,18118
Taiwan,2014,19898
Taiwan,2015,20918
