Country	Year	Number
Indonesia	2008	4996594
Indonesia	2009	5053269
Indonesia	2010	6235606
Indonesia	2011	6750416
Indonesia	2012	7453633
Indonesia	2013	8024876
Indonesia	2014	7899070
Indonesia	2015	7908534
Indonesia	2016	6677918
China	2007	40954000
China	2008	45844000
China	2009	47656000
China	2010	57386000
China	2011	70250000
China	2012	83183000
China	2013	98185000
China	2014	107276000
China	2015	116886000
India	2007	9783000
India	2008	10868000
India	2009	11067000
India	2010	12988000
India	2011	13994000
India	2012	14920000
India	2013	16626000
India	2014	18330000
India	2015	20376000
Malaysia	1996	23333000
Malaysia	1997	26165000
Malaysia	1998	25631000
Malaysia	1999	26067000
Malaysia	2000	30532000
Malaysia	2001	36248000
Malaysia	2002	29866000
Malaysia	2003	32201000
Malaysia	2004	30761000
Australia	2007	5462000
Australia	2008	5808000
Australia	2009	6276000
Australia	2010	7103000
Australia	2011	7788000
Australia	2012	8212000
Australia	2013	8768000
Australia	2014	9114000
Australia	2015	9459000
Japan	2007	17295000
Japan	2008	15987000
Japan	2009	15446000
Japan	2010	16637000
Japan	2011	16994000
Japan	2012	18491000
Japan	2013	17473000
Japan	2014	16903000
Japan	2015	16214000
Philippines	2001	1787000
Philippines	2002	1969000
Philippines	2003	1803000
Philippines	2004	1920000
Philippines	2005	2144000
Philippines	2006	2745000
Philippines	2007	3066000
Philippines	2008	3355000
Philippines	2009	3188000
South Korea	2008	11996000
South Korea	2009	9494000
South Korea	2010	12488000
South Korea	2011	12694000
South Korea	2012	13737000
South Korea	2013	14846000
South Korea	2014	16081000
South Korea	2015	19310000
South Korea	2016	22383000
USA	2007	64049000
USA	2008	63653000
USA	2009	62051000
USA	2010	61061000
USA	2011	59209000
USA	2012	60697000
USA	2013	61874000
USA	2014	68176000
USA	2015	73453000
Thailand	2007	4018000
Thailand	2008	3908000
Thailand	2009	4653000
Thailand	2010	5451000
Thailand	2011	5397000
Thailand	2012	5721000
Thailand	2013	5970000
Thailand	2014	6444000
Thailand	2015	6794000
UK	2007	69450000
UK	2008	69011000
UK	2009	58614000
UK	2010	55562000
UK	2011	56836000
UK	2012	56538000
UK	2013	57792000
UK	2014	60082000
UK	2015	65720000
Hong Kong	2008	81911000
Hong Kong	2009	81958000
Hong Kong	2010	84442000
Hong Kong	2011	84816000
Hong Kong	2012	85276000
Hong Kong	2013	84414000
Hong Kong	2014	84519000
Hong Kong	2015	89082000
Hong Kong	2016	91758000
Germany	2007	82099000
Germany	2008	86201000
Germany	2009	85547000
Germany	2010	85872000
Germany	2011	84692000
Germany	2012	82729000
Germany	2013	87459000
Germany	2014	83008000
Germany	2015	83737000
Taiwan	2008	8465172
Taiwan	2009	8142946
Taiwan	2010	9415074
Taiwan	2011	9583873
Taiwan	2012	10239760
Taiwan	2013	11052908
Taiwan	2014	11844635
Taiwan	2015	13182976
Taiwan	2016	14588923
