Country,Year,VisitorArrival
Australia,2010,840126
Australia,2011,914334
Australia,2012,1003032
Australia,2013,1066504
Australia,2014,1013007
Australia,2015,986046
Australia,2016,974582
China,2010,916688
China,2011,1208311
China,2012,1518330
China,2013,1703260
China,2014,1451116
China,2015,1717374
China,2016,2122121
Germany,2010,194594
Germany,2011,203315
Germany,2012,234189
Germany,2013,232887
Germany,2014,244570
Germany,2015,267765
Germany,2016,312528
Hong Kong,2010,336985
Hong Kong,2011,412169
Hong Kong,2012,409240
Hong Kong,2013,422407
Hong Kong,2014,497059
Hong Kong,2015,493564
Hong Kong,2016,443372
India,2010,685772
India,2011,727910
India,2012,772281
India,2013,824430
India,2014,852866
India,2015,929403
India,2016,1009198
Indonesia,2010,2087059
Indonesia,2011,2361772
Indonesia,2012,2578462
Indonesia,2013,2744772
Indonesia,2014,2697014
Indonesia,2015,2471378
Indonesia,2016,2643591
Japan,2010,455227
Japan,2011,571662
Japan,2012,662226
Japan,2013,726195
Japan,2014,726915
Japan,2015,701334
Japan,2016,705660
Malaysia,2010,840733
Malaysia,2011,930883
Malaysia,2012,1007490
Malaysia,2013,1053852
Malaysia,2014,1014983
Malaysia,2015,991210
Malaysia,2016,988497
Philippines,2010,472566
Philippines,2011,601377
Philippines,2012,572888
Philippines,2013,573037
Philippines,2014,557631
Philippines,2015,564288
Philippines,2016,593133
South Korea,2010,310062
South Korea,2011,356292
South Korea,2012,384972
South Korea,2013,406024
South Korea,2014,462995
South Korea,2015,502636
South Korea,2016,498283
Taiwan,2010,164032
Taiwan,2011,204286
Taiwan,2012,238603
Taiwan,2013,276585
Taiwan,2014,267424
Taiwan,2015,294557
Taiwan,2016,310023
Thailand,2010,331816
Thailand,2011,377420
Thailand,2012,379783
Thailand,2013,396327
Thailand,2014,422573
Thailand,2015,440082
Thailand,2016,472134
UK,2010,426580
UK,2011,408178
UK,2012,413743
UK,2013,426695
UK,2014,420072
UK,2015,444833
UK,2016,462720
USA,2010,383306
USA,2011,405539
USA,2012,440161
USA,2013,454178
USA,2014,449539
USA,2015,466232
USA,2016,485511
Vietnam,2010,267092
Vietnam,2011,281361
Vietnam,2012,312682
Vietnam,2013,324968
Vietnam,2014,367504
Vietnam,2015,369028
Vietnam,2016,412576
