Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,17373.76823,17830.03705,18232.55792,19183.89912,20113.56249,21005.2024,22075.36783,23020.74339,24246.14669,25299.35977,26406.13095,27431.0754,28717.2892,29723.68385,31345.22087,32591.80935,34356.76641,36596.00841,37506.90682,40282.31372,39191.03563,41782.28494,42616.14892,45668.68911,46446.02724,46475.92775,46789.92724
China,986.5684444,1099.052304,1268.271708,1461.610447,1668.580757,1869.46645,2070.771752,2277.207009,2458.630831,2664.485215,2933.31502,3226.84868,3551.663897,3961.274167,4455.20533,5092.560189,5883.719784,6863.982229,7635.073139,8374.43285,9333.124882,10384.36732,11351.06284,12367.96586,13439.90764,14448.26562,15534.70194
Germany,19421.76614,20940.23977,21664.25886,21823.69769,22756.77679,23565.71044,24110.80106,24627.34496,25366.78879,26360.14719,27277.11033,28541.24387,29326.91207,29988.21339,31439.58273,31968.46745,34261.47365,36436.51777,38028.77214,37080.30825,39263.18779,42692.51976,43564.14802,45232.19785,47058.15893,47998.8627,48729.59042
United Kingdom,16739.14676,17049.95597,17454.11281,18273.50841,19338.16087,20182.81813,21507.45032,22699.16377,23232.24082,23975.97317,26030.72882,27358.97189,28630.36796,29898.23589,31617.61228,32274.76374,34332.30121,35151.34069,36068.09323,34402.96146,35740.7372,36456.00216,37477.80229,39016.75868,40709.19732,41767.28965,42608.91939
"Hong Kong SAR, China",17434.35724,18884.59701,20347.78722,21746.92844,23025.88285,23592.29813,23958.6324,25399.07724,23963.48573,24703.03181,26962.58777,27528.07659,28288.18275,29792.85036,33016.84046,36437.492,39940.85006,43280.97377,44800.21971,43935.68496,47134.56897,50085.95933,51274.05727,53472.23072,55514.51094,56951.96372,58552.71222
Indonesia,2989.53415,3245.683914,3476.054747,3728.132791,4029.830919,4383.94503,4741.78854,4977.128221,4309.335926,4348.656205,4601.849337,4810.755645,5033.949128,5305.683329,5647.24128,6076.577888,6517.949093,7019.74893,7486.01947,7787.123624,8262.899269,8837.820122,9421.586953,9979.517292,10537.21253,11038.79164,11612.06637
India,1134.222274,1160.459813,1227.157739,1290.353792,1378.495903,1485.02944,1595.712322,1657.408836,1746.494875,1895.440831,1977.645023,2083.82455,2159.35976,2336.473081,2549.265889,2830.405074,3138.633816,3484.884682,3637.643029,3920.006139,4315.596024,4635.879137,4916.48579,5250.512363,5677.702944,6126.52266,6572.336719
Japan,19454.42412,20705.86332,21298.38089,21788.58061,22368.10145,23416.55178,24535.93178,25141.54936,25061.77766,25325.70726,26795.20743,27476.91553,28160.10761,28867.92278,30382.78917,31663.4531,33057.58961,34529.13336,34798.7659,33099.27036,34996.32446,35774.69671,37191.38595,38974.07949,39386.90882,40686.02439,41469.85471
"Korea, Rep.",8276.034959,9343.977813,10042.27077,10874.10583,12006.49722,13295.51969,14428.27252,15399.22659,14608.8406,16392.80863,18083.0841,19184.3861,20775.10514,21374.49678,22947.22316,24196.42385,25827.7946,27822.86014,28655.98352,28320.31912,30376.87182,31228.5107,32097.164,32615.77259,33631.54891,34421.57955,35750.76998
Malaysia,6819.841796,7514.885562,8156.389915,8949.721768,9736.49515,10645.58554,11624.89219,12370.75159,11297.55381,11882.76601,12927.7601,13002.95157,13626.86701,14411.36407,15507.21495,16540.79421,17667.75359,19488.42784,20162.89782,19448.27568,20680.32076,21818.87569,23007.12867,24033.99905,25487.86558,26606.3433,27680.76867
Philippines,2591.926586,2597.257766,2601.247891,2655.24434,2764.939497,2886.995938,3041.416499,3181.792568,3128.0364,3203.359667,3348.152339,3449.527891,3554.911629,3729.011059,4008.678809,4255.159861,4535.140605,4881.396479,5100.535714,5115.481643,5483.620757,5707.204842,6099.120754,6526.650182,6937.555502,7319.571262,7806.211272
Thailand,4298.39894,4764.695547,5214.465293,5726.833221,6258.861434,6839.711441,7277.539903,7114.060248,6563.177557,6888.960869,7283.51129,7635.093003,8160.932736,8855.494675,9604.710478,10262.10894,11035.61459,11878.03915,12255.21202,12201.36244,13213.74775,13535.13327,14714.47502,15293.25799,15646.57798,16222.97175,16916.48048
United States,23954.47935,24405.16481,25492.95165,26464.85251,27776.63553,28782.17502,30068.23092,31572.69023,32949.19776,34620.9289,36449.85512,37273.6181,38166.03784,39677.19835,41921.80976,44307.92058,46437.06712,48061.53766,48401.42734,47001.55535,48373.87882,49790.66548,51450.1223,52787.02695,54598.55069,56207.03675,57466.78711
Vietnam,970.2356524,1042.925829,1138.479682,1238.057068,1353.236896,1488.646044,1631.092576,1766.479257,1859.814947,1948.959234,2100.243076,2252.422657,2403.517497,2590.294311,2828.047516,3102.936693,3383.69504,3681.316118,3924.101329,4123.425804,4395.510163,4715.886349,5000.764854,5300.32607,5656.95694,6034.259949,6424.133768
